method,goal,observed_failure,final_status,source
Residual Reuse,Reduce CFG work,Best throughput gain only +1.16%,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
Corrector Gating,Skip physical forwards,~1.5× speed; Stable/NUS and E-hull worsened,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
Budget-aware Gating,Safer corrector skip,Quality gates or speed target failed,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
FN-PRA,Representation alignment,Composition and Stable −6.25 pp,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
CrystalREPA,Unconditional REPA repro,E-hull +0.09424; RMSD worsened,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
RP-QTFG,Training-free physics guidance,Offline direction positive; online RMSD worsened,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
CG-TDR,Teacher residual correction,Residual no better than zero; safe gate near no effect,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
Q1 UQ-PQR,Post-generation quality,Novel −14.86 pp,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
Q2 RFR,Force refinement,Novel −30.25 pp; Unique −8.45 pp,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
Q4 CPRC,Constrained correction,Novel −17.08 pp,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
Q5 CQPS,Quality-preserving selection,Novel −15.63 pp,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
Q6 NS-SetRank,Candidate ranking,Novel −12.50 pp,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
GPU acceleration routes,Bitwise-safe throughput,Batch changed quality; compile/static/MPS below gates,No-Go,thesis_archive/EXPERIMENT_LINEAGE.md
