experiment_id,experiment_name,source_worktree,source_branch,source_commit,source_path,category,status,scientific_question,main_result,used_in_thesis,covered_by_final_release,archive_target,size,notes
I1-00,Fixed CFG baseline,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,release/thesis-final-2026,5b572c61c70c4287147616beae7f72d28955cf98,thesis_release/innovation1,SUMMARY_ONLY,SUPPORTED,What fixed-compute reference should all adaptive CFG variants use?,The fixed reference remained the required baseline throughout the lineage.,core,yes/core,research_archive/innovation1/fixed_cfg,1963507,
I1-01,Adaptive CFG V1,/mnt/datasets-livsyn/dxl/mattergen_v1,archive/thesis-analysis-package-v1,a367f85efe8027bf8ef2db41cc48ec2fd3d60582,experiments/final_innovation1_audit,FULL_ARCHIVE,MIXED,Can online multi-field residual adaptation improve conditional generation?,Historical positive evidence was not stable across the later batch; benefits and quality trade-offs coexist.,supporting,yes/summary,research_archive/innovation1/adaptive_cfg_v1,21632213,Historical conclusion and later thesis interpretation are deliberately separated.
I1-02,Robust Adaptive CFG V2,/mnt/datasets-livsyn/dxl/mattergen_v1_robust_adaptive_cfg,experiment/robust-adaptive-cfg-v2,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/robust_adaptive_cfg_v2,FULL_ARCHIVE,FAIL,Can calibrated residual normalization reduce V1 harmful adaptation?,Fresh P0 failed the preregistered gate; Formal256 was correctly not run.,supporting,yes/key-negative,research_archive/innovation1/robust_v2,327946919,
I1-03,Counterfactual Oracle V3,/mnt/datasets-livsyn/dxl/mattergen_v1_cfg_oracle,experiment/counterfactual-adaptive-cfg-v3,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/counterfactual_adaptive_cfg_v3,FULL_ARCHIVE,MIXED,Does per-sample counterfactual selection reveal usable adaptive-CFG headroom?,"The original oracle promotion gate failed, while later analysis retained evidence of avoidable harmful decisions.",supporting,yes/key-negative,research_archive/innovation1/oracle_v3,8229992,
I1-04,Risk-Calibrated CFG V4,/mnt/datasets-livsyn/dxl/mattergen_v1_risk_cfg,experiment/risk-calibrated-adaptive-cfg,a4fda8a573ee0e372d3b53064e235ae87f0e670c,experiments/risk_calibrated_adaptive_cfg,FULL_ARCHIVE,FAIL,Can a risk model selectively suppress harmful adaptive decisions?,The selective gate failed; no fresh P0 or Formal256 was permitted.,supporting,yes/key-negative,research_archive/innovation1/risk_v4,13498583,
I1-05,Safe-Selection CFG V5,/mnt/datasets-livsyn/dxl/mattergen_v1_safe_cfg,experiment/calibrated-safe-selection-cfg,7c9d9261d5064a37b8c4cd03a0ecf022621145a7,experiments/calibrated_safe_selection_cfg,FULL_ARCHIVE,FAIL,Can conservative candidate selection deliver safe adaptive gains?,The validation gate failed; downstream P0/Formal stages were not run.,supporting,yes/key-negative,research_archive/innovation1/safe_v5,4365429,
I1-06,Stage-Calibrated CFG,/mnt/datasets-livsyn/dxl/mattergen_v1_stage_cfg,experiment/stage-calibrated-bounded-cfg,f281462d8f690493f3bc3b78faffaea6abdeb2ae,experiments/stage_calibrated_bounded_cfg,FULL_ARCHIVE,MIXED,Are useful CFG adaptations concentrated in particular denoising stages?,"Pulse activity was measurable, but P0 failed and the stage-specific benefit was not supported.",supporting,yes/key-negative,research_archive/innovation1/stage_cfg,7700071,
I1-07,Field-Decoupled CFG,/mnt/datasets-livsyn/dxl/mattergen_v1_field_cfg,experiment/field-decoupled-adaptive-cfg,fca6b8d90e869c8c9535d7e5910e606efd722fdf,experiments/field_decoupled_adaptive_cfg,FULL_ARCHIVE,FAIL,"Can position, cell and atom fields be adapted independently?",No eligible policy survived calibration; P0 and Formal256 were not run.,supporting,yes/key-negative,research_archive/innovation1/field_cfg,5204516,
I1-08,Adaptive Neighborhood P0,/mnt/datasets-livsyn/dxl/mattergen_v1_adaptive_neighbor,experiment/adaptive-neighborhood-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/adaptive_neighborhood_p0,SUMMARY_ONLY,FAIL,Can local neighborhood signals gate adaptation more reliably?,P0 and its guardrails failed.,no,no,research_archive/innovation1/adaptive_neighborhood,3441698,
I1-09,Field Async Freeze,/mnt/datasets-livsyn/dxl/mattergen_v1_async_freeze,experiment/field-async-freeze-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/field_async_freeze_p0,SUMMARY_ONLY,ABANDONED_BEFORE_EVALUATION,Can converged fields be frozen asynchronously?,The diagnostic gate failed; generation was not started.,no,no,research_archive/innovation1/field_async_freeze,3930,
I1-10,Shared Field Dynamics Diagnostic,/mnt/datasets-livsyn/dxl/mattergen_v1_async_freeze,experiment/field-async-freeze-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/shared_field_dynamics,SUMMARY_ONLY,INCONCLUSIVE,Do fields exhibit separable convergence dynamics?,Dynamics did not establish actionable heterogeneous control.,no,no,research_archive/innovation1/shared_field_dynamics,2911350,
I1-11,Site-Level Convergence Diagnostic,/mnt/datasets-livsyn/dxl/mattergen_v1_async_freeze,experiment/field-async-freeze-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/site_level_convergence_diagnostic,SUMMARY_ONLY,FAIL,Can individual sites be declared converged early?,The diagnostic failed; no safe intervention followed.,no,no,research_archive/innovation1/site_convergence,9581788,
I1-12,Cell-Atom Fusion P0,/mnt/datasets-livsyn/dxl/mattergen_v1_cell_atom_fusion,experiment/cell-atom-fusion-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/cell_atom_fusion_p0,SUMMARY_ONLY,FAIL,Can learned cell-atom fusion exploit cross-field interactions?,The route failed and the fusion was largely unused by its gate.,no,no,research_archive/innovation1/cell_atom_fusion,3618177,
